product_seq,pci_type,pci_number
13154523,PCIex16(at x1),1
13154523,PCIex1,1
20013806,PCIex16,1
20013806,PCIex16(at x4),1
20013806,PCIex1,1
17968601,PCIex16,4
17968601,PCIex8,3
27635057,PCIex16,1
27635057,PCIex16(at x4),1
27635057,PCIex1,3
20103287,PCIex16,1
20103287,PCIex16(at x4),1
19622384,PCIex16,1
19622384,PCIex1,2
19622384,PCI,1
17697992,PCIex16,1
18652898,PCIex16,1
18652898,PCIex16(at x4),1
18652898,PCIex16(at x1),1
18044549,PCIex16,1
18044549,PCIex16(at x4),1
18044549,PCIex1,2
18128375,PCIex16,1
18128375,PCIex16(at x4),1
18128375,PCIex1,2
18652253,PCIex16,1
18652253,PCIex16(at x4),1
18652253,PCIex1,1
18300131,PCIex16,1
18300131,PCIex16(at x4),1
18300131,PCIex1,1
12689597,PCIex16,3
12689597,PCIex4,1
12689597,PCIex1,1
18652442,PCIex16,1
18652442,PCIex1,2
13158504,PCIex16,1
13158504,PCIex16(at x4),1
13158504,PCIex1,1
18140294,PCIex16,1
18140294,PCIex16(at x1),2
18000254,PCIex16,1
18000254,PCIex16(at x4),2
18000254,PCIex1,1
19673975,PCIex1,1
18007490,PCIex16,1
18645737,PCIex16,1
18645737,PCIex16(at x4),1
18645737,PCIex1,1
