name,cpu,ram,gpu,dx,os,sto,spec_class
Act of War: Direct Action,"Pentium® 4, 2.0 GHz",384 MB,128 MB SVGA with hardware T&L video card recommended graphics card (graphics card should be compatible with DirectX ® version 9.0c or higher),DirectX® version 9.0c (included) or higher,Windows® 98/SE/Me/2000/XP,3.5 GB Free,1
Act of War: High Treason,Pentium® III 1.5 GHz,256 MB RAM,Windows® 98/SE/Me/2000/XP-compatible 64 MB SVGA with hardware T&L;,DirectX® version 9.0c (included) or higher,Windows® 98/SE/Me/2000/XP,,0
Act of War: High Treason,"Pentium® 4, 2.0 GHz",384 MB,128 MB SVGA with hardware T&L video card recommended graphics card (graphics card should be compatible with DirectX ® version 9.0c or higher),DirectX® version 9.0c (included) or higher,Windows® 98/SE/Me/2000/XP,,1
Actraiser Renaissance,"AMD A8-7600, Intel® Core™ i3-3210",8 GB RAM,"AMD Radeon™ R7 240, NVIDIA® GeForce® GT 730",Version 11,Windows® 8.1 64-bit / Windows® 10 64-bit,5 GB available space,0
Actraiser Renaissance,"AMD Ryzen™ 3 1200, Intel® Core™ i5-3330",8 GB RAM,"AMD Radeon™ R7 260X, NVIDIA® GeForce® GTX 750",Version 11,Windows® 8.1 64-bit / Windows® 10 64-bit,5 GB available space,1
Ad Exitum,"Quad-core Intel or AMD, 2 GHz or faster",4 GB RAM,DirectX 10 compatible graphics card,,Windows 7/8 64-bit,2500 MB available space,0
Ad Exitum,"Quad-core Intel or AMD, 2.5 GHz or faster",8 GB RAM,DirectX 11 compatible graphics card,,Windows 7/8/10 64-bit,2500 MB available space,1
Ad Infinitum,Intel Core i5-8400 or AMD Ryzen 5 1600X,12 GB RAM,"NVIDIA GeForce GTX 660, 2 GB or AMD Radeon HD 7850, 2 GB or Intel Arc A380, 6 GB",Version 11,"Windows 10, 64-bit",21 GB available space,0
Adam Wolfe,1.5 GHz,1 GB RAM,Graphics card with DirectX 9 level (shader model 2.0) capabilities,Version 9.0,Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,1.7 GB available space,0
Adam Wolfe,2.0 GHz,2 GB RAM,Graphics card with DirectX 9 level (shader model 2.0) capabilities,Version 9.0,Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,1.7 GB available space,1
Adorables,1 GHz,1 GB RAM,(Any),,Windows XP,120 MB available space,0
Adorables,2 GHz,1 GB RAM,(Any),,Windows 7,120 MB available space,1
Adore,Intel(R) Core(TM) 2 Duo CPU E8400 @ 3.00Hz,4 GB RAM,NVIDIA GTX 260 | ATI Radeon HD 4800 Series,Version 11,Windows 7,4 GB available space,0
Adore,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHZ,4 GB RAM,Geforce GTX 660,Version 11,Windows 10,4 GB available space,1
ADR1FT,Intel Core 2 Quad CPU Q9550 @ 2.83 GHz / AMD Phenom 9850 @ 2.5 GHz,8 GB RAM,NVIDIA GTX 650 2GB or AMD HD7770 2GB,Version 11,Windows 64 bits,6000 MB available space,0
ADR1FT,Intel i5 4570 @ 3.2 GHz / AMD Phenom II 945 @ 3.0 GHz,16 GB RAM,NVIDIA GTX 970 / AMD R9 290 equivalent or greater,Version 11,Windows 10 64 bits,6000 MB available space,1
Advent Rising,2.0 GHz Processor,256 MB of RAM,128 MB ATI 9000 or higher or 128 MB GeForce 3 or higher (except GeForce 4 MX),DirectX 9.0 (included with download),Windows 2000/XP,5.5 GB Minimum Hard Drive Space,0
Advent Rising,3.4 GHz Processor,512 MB of RAM,256 MB GeForce FX 5600 or higher or ATI Radeon 9600 or higher,DirectX 9.0 (included with download),Windows 2000/XP,5.5 GB Minimum Hard Drive Space,1
AdVenture Capitalist,(Any),512 MB RAM,(Any),Version 9.0,Windows XP,60 MB available space,0
Adventure Craft,Intel Core 2 Duo 2.5GHz or equivalent processor,512 MB RAM,"Dedicated GPU with 256 MB memory, shader version 4 capable",Version 10,Microsoft® Windows® Vista or higher,700 MB available space,0
Adventure Craft,Intel Core 2 Duo 2.8GHz or equivalent processor,1 GB RAM,Nvidia GeForce 8800/AMD Radeon HD 5670 or equivalent video card with 512 MB memory,Version 11,Microsoft® Windows® 7 or higher,700 MB available space,1
Adventure Time: Pirates of the Enchiridion,Intel Core 2 Quad Q6600 (2.4 GHz) or AMD equivalent,4 GB RAM,GeForce GT 430 (1024 MB)/ Radeon HD 6850 (1024 MB),Version 9.0c,Windows 7 / 8 / 10,3 GB available space,0
Adventure Time: Pirates of the Enchiridion,"Intel i5, 4 x 2.6 GHz or AMD equivalent",4 GB RAM,(Any),Version 11,Windows 10,5 GB available space,1
Adventure Time: The Secret Of The Nameless Kingdom,Intel™ Pentium 4 2.4 ghz with Hyper Threading,1 GB RAM,"NVIDIA® Geforce 9600GT, AMD® Radeon™ HD 3870 or higher (it must be able to manage Pixel Shader 3.0) with at least 512MB of display memory",,"Windows®XP™ SP2, Windows®Vista™ or Windows®7",1 GB available space,0
Adventure Time: The Secret Of The Nameless Kingdom,Intel™ Core 2 Duo / AMD™ Athlon 64 X2 or higher.,4 GB RAM,"NVIDIA® GeForce™ 200 series or higher, AMD® Radeon™ HD5000 series or higher (it must be able to manage Pixel Shader 3.0) with at least 512MB of display memory",,"Windows®XP™ SP2, Windows®Vista™ or Windows®7",2 GB available space,1
AdventureQuest 3D,Dual Core 1.8GHZ or Single Core 3.0GHZ,1 GB RAM,512 MB,Version 9.0c,Windows 7,500 MB available space,0
AdventureQuest 3D,Dual Core 2.66GHZ,2 GB RAM,1 GB,Version 9.0c,Windows 10,1 GB available space,1
Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,(Any),2 GB RAM,(Any),,Windows XP or later,1 GB available space,0
Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement,(Any),2 GB RAM,DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities,,Windows XP SP2+,2 GB available space,0
Aegis Defenders,Intel Core 2 Duo E5200,4 GB RAM,GeForce 9800GTX+ (1GB),Version 10,Windows 7,2 GB available space,0
