cpu,mainboard,ram,gpu,case,power,cooler,ssd,sys_cooler
18039569,18652877,20644043,18980858,18449441,19814027,,17000984,
12622091,11574341,11790199,18307451,11884168,13168653,18076145,12339347,
18039569,18167699,16875566,15754070,17192498,18477077,,12339347,
18039269,19628207,17931533,21629063,18419840,12487301,,5791868,
18640397,18060362,17535839,20297981,17135795,19961018,,17001050,
18039374,16089002,5937666,14448719,11884207,21206702,,17001050,
18038831,18652871,17535839,19781723,17896439,12487214,,13538642,
,,18911780,15754070,16542008,10171746,,14905265,
17913863,18154490,20644043,18682472,13933700,20628194,,13276568,
12625265,11574545,11541857,16313996,16900727,18872015,,17454767,
18640286,16094585,11541857,,11113710,9431529,,13562714,
18640106,16637543,18911771,11189739,13381619,18871862,,13562693,
16741211,12067598,11541857,11189739,16541072,21651302,,17454767,
18640205,16637543,18911771,23561576,18252812,12345542,21531986,17454590,
18039356,18652877,18911780,18307451,17747885,18442058,18076145,17454683,
18039569,18167699,16193474,17982335,18419840,18901058,,17001050,
19627808,17971184,16193474,18668606,16542008,16200560,,,
19174415,17926745,18613178,18686444,17780918,13168653,,17000984,
18039374,18054803,20644043,14448719,18448748,19727942,,13538642,
18039374,18652877,18911780,18686546,11884207,20628194,,12339347,
18640379,16637543,18911771,19321322,17783126,18871952,19306109,17454767,
18640379,16637543,18911771,20723405,18788681,17523389,17743070,17454767,
,,16442840,20722592,20229659,18872015,,10927932,
18640397,18652865,16193474,19755191,18769955,19814000,21550901,12339347,
18640379,18421946,16193474,19059974,17954243,12487301,,17001050,
18640379,18652871,20644043,18307874,11884168,18442058,14110475,13161338,
18039374,15693545,15759071,18307451,11884207,18442058,18076187,17454683,
18640379,18652877,18911780,20312741,5633207,16200560,10467378,17454683,
19627808,18021581,18883523,18668606,20229659,12487301,,13190711,
18640379,18652865,20369126,19756001,20504855,20315651,,17000984,
18640379,18265187,22170725,19781519,17192498,15786305,,13562714,
18640379,15693545,18911780,19321322,17783126,16200560,10467333,18297002,
18640379,18421946,16443341,19773293,11884207,20010002,,7136755,
18718496,20324882,20644043,15754070,15063971,12487214,,7136755,
18640280,18652877,18911780,19321601,16900727,9782097,,7136788,
16101353,19498640,18911780,13463144,9376470,14677028,,13190519,
18039374,18261176,16193474,20500949,17676860,9515844,,17001050,
18718496,18021440,15879230,18348743,13381619,18503468,16208849,13161338,
18039269,18652871,17535839,14718956,17409059,12487214,,13276568,
18039569,18265187,18911780,17972810,18419840,16273730,,13276568,
18039374,15693545,15759071,18307451,11884207,18442058,18076187,12339347,
18640379,15616676,16272698,19773425,16859912,9515841,,13161338,
18038831,18652871,18911780,,18564128,12487214,,13276304,
18039374,19536062,20369066,18373583,21464180,10901742,,15796589,
16101353,16084070,11380437,20297981,12053192,10901742,,14905265,
16741349,11574545,11790199,12822224,9295779,11650160,18076082,17454767,
18039569,18599705,21639455,18108812,18751016,20615300,,13538642,
17913863,17971598,17535647,13512254,11884168,18503468,19864532,13161338,
15594887,15615839,15759071,17982335,17747885,13168653,16862534,17454683,
16101581,16088780,11790199,14461811,16571885,10448835,18075779,5734544,
18640379,19628207,18768470,18682472,12751874,9515844,,13276568,
18640379,18652877,19539860,20502104,18788645,13934516,,17000984,
17913980,17971187,20644043,,17764370,13854197,,14905214,
18039374,18652877,19539860,17038307,15808484,12487301,,20079467,
16101353,18649997,22170725,17224892,11884168,12487214,,13161338,
18640280,16083650,11790199,13512254,21548498,13934357,,7136788,
19627808,18021581,18486497,18668606,11884168,12487301,,13276304,
17913980,18060878,19552541,13596899,16301513,17870129,21551720,14803400,
18718496,19827572,17535233,18686444,18419840,20256680,,13161338,
18039269,17353070,18911780,18668606,16900727,13934516,,17001050,
18718538,17971187,20369066,19756001,8173504,12487301,,14905265,
17913311,19755455,19539911,19773293,20255537,13934357,,13161338,
18640280,16637543,18911771,13512254,13381619,14677028,,7136755,
