name,price,link,company,product_seq,image,size,capacity,interface,rpm,transfer_rate,buffer_capacity,recording_method,thickness,as_years,reg_date,bookmark
"Western Digital WD Caviar Blue SATA2/7200/8M/해외구매 (WD2500AAJS, 250GB)",,https://prod.danawa.com/info/?pcode=3207911&cate=112763,Western Digital WD,3207911,//img.danawa.com/prod_img/500000/911/207/img/3207911_1.jpg?shrink=330:*&_v=20200528100050,8.9,250.0,SATA2(3Gb/s),7200,,8.0,,,,201506,
"Western Digital WD BLUE 5400/64M/해외구매 (WD10EZRZ, 1TB)",85640.0,https://prod.danawa.com/info/?pcode=15271301&cate=112763,Western Digital WD,15271301,//img.danawa.com/prod_img/500000/301/271/img/15271301_1.jpg?shrink=330:*&_v=20210916151516,8.9,1024.0,SATA3(6Gb/s),5400,150,64.0,,26.1,,202109,
"Western Digital WD BLUE 7200/256M 해외구매 (WD20EZBX, 2TB)",98630.0,https://prod.danawa.com/info/?pcode=14733734&cate=112763,Western Digital WD,14733734,//img.danawa.com/prod_img/500000/734/733/img/14733734_1.jpg?shrink=330:*&_v=20210713165848,8.9,2048.0,SATA3(6Gb/s),7200,215,256.0,1.0,26.1,,202103,
"도시바 MD04 7200/128M (MD04ACA400, 4TB)",148000.0,https://prod.danawa.com/info/?pcode=3835364&cate=112763,도시바,3835364,//img.danawa.com/prod_img/500000/364/835/img/3835364_1.jpg?shrink=330:*&_v=20200528112216,8.9,4096.0,SATA3(6Gb/s),7200,,128.0,,26.1,,201603,
"Seagate BarraCuda 7200/64M/해외구매 (ST1000DM010, 1TB)",65990.0,https://prod.danawa.com/info/?pcode=5638974&cate=112763,Seagate,5638974,//img.danawa.com/prod_img/500000/974/638/img/5638974_1.jpg?shrink=330:*&_v=20200528093625,8.9,1024.0,SATA3 (6Gb/s),7200,,64.0,2.0,,,201711,
"HGST Ultrastar A7K1000 SATA2/7200/32M/해외구매 (HUA721010KLA330, 1TB)",102790.0,https://prod.danawa.com/info/?pcode=3330265&cate=112763,HGST,3330265,//img.danawa.com/prod_img/500000/265/330/img/3330265_1.jpg?shrink=330:*&_v=20220209154339,8.9,1024.0,SATA2(3Gb/s),7200,,32.0,,,,201507,
"Western Digital WD Caviar RE EIDE/7200/8M/해외구매 (WD1600SB, 160GB)",,https://prod.danawa.com/info/?pcode=3328185&cate=112763,Western Digital WD,3328185,//img.danawa.com/prod_img/500000/185/328/img/3328185_1.jpg?shrink=330:*&_v=20220211132304,8.9,160.0,E-IDE,7200,,8.0,,,,201507,
"Seagate Constellation.2 SATA/7200/64/해외구매 (ST91000640NS, 1TB)",87800.0,https://prod.danawa.com/info/?pcode=3273005&cate=112763,Seagate,3273005,//img.danawa.com/prod_img/500000/005/273/img/3273005_1.jpg?shrink=330:*&_v=20220209152014,6.4,1024.0,SATA3(6Gb/s),7200,,64.0,,,,201507,
"Seagate Enterprise Capacity 7200/128M/해외구매 (ST5000NM0024, 5TB)",,https://prod.danawa.com/info/?pcode=3274545&cate=112763,Seagate,3274545,//img.danawa.com/prod_img/500000/545/274/img/3274545_1.jpg?shrink=330:*&_v=20220405111003,8.9,5120.0,SATA3(6Gb/s),7200,226,128.0,,,,201507,
"Western Digital WD Caviar Green SATA2/64M/해외구매 (WD20EARS, 2TB)",,https://prod.danawa.com/info/?pcode=2926207&cate=112763,Western Digital WD,2926207,//img.danawa.com/prod_img/500000/207/926/img/2926207_1.jpg?shrink=330:*&_v=20200528171405,8.9,2048.0,SATA2(3Gb/s),5400,,64.0,,,,201111,
