name,price,link,company,product_seq,image,code,socket,core_number,thread_number,l2_cache,l3_cache,tdp,pbpmtp,has_graphic,graphic_name,graphic_core_speed,memory_capacity,memory_type,memory_clock,memory_channel,pcie_channel_number,pcie_version,has_cooler,clock_basic,clock_max,nm,tech_support,bench_mark,reg_date,bookmark
인텔 제온 X5680,53400.0,https://prod.danawa.com/info/?pcode=13501562&cate=112747,인텔,13501562,//img.danawa.com/prod_img/500000/562/501/img/13501562_1.jpg?shrink=330:*&_v=20210609094211,웨스터미어,인텔(소켓1366),6,12,1.5,12.0,130.0,,0,,,,8.0,,,,,0,3.33,,32.0,,6836,201004,
인텔 코어i5-4세대 4670 + H81 패키지,50110.0,https://prod.danawa.com/info/?pcode=7914022&cate=112747,인텔,7914022,//img.danawa.com/prod_img/500000/022/914/img/7914022_1.jpg?shrink=330:*&_v=20190514121209,중고,인텔(소켓1150),4,4,1.0,6.0,84.0,,1,인텔 HD 4600,1200.0,,8.0,,,16.0,,0,3.4,3.8,22.0,,5526,201905,
인텔 코어i5-7세대 7600K,,https://prod.danawa.com/info/?pcode=7812139&cate=112747,인텔,7812139,//img.danawa.com/prod_img/500000/139/812/img/7812139_1.jpg?shrink=330:*&_v=20200707163601,카비레이크,인텔(소켓1151),4,4,,6.0,91.0,,1,인텔 HD 630,1150.0,,14.0,2400.0,,16.0,,0,3.8,4.2,14.0,,6814,201701,
AMD A4 7300,9490.0,https://prod.danawa.com/info/?pcode=18170813&cate=112747,AMD,18170813,//img.danawa.com/prod_img/500000/813/170/img/18170813_1.jpg?shrink=330:*&_v=20221102154559,리치랜드,AMD(소켓FM2),2,2,1.0,,65.0,,1,AMD HD 8470D,800.0,,8.0,,,,,0,3.8,4.0,32.0,,1536,201410,
인텔 펜티엄 G3250,2840.0,https://prod.danawa.com/info/?pcode=6112998&cate=112747,인텔,6112998,//img.danawa.com/prod_img/500000/998/112/img/6112998_1.jpg?shrink=330:*&_v=20181106113400,하스웰 리프레시,인텔(소켓1150),2,2,0.5,3.0,53.0,,1,인텔 HD,1100.0,,8.0,,,16.0,,0,3.2,,22.0,,1968,201408,
AMD EPYC 7543,5400000.0,https://prod.danawa.com/info/?pcode=16909040&cate=112747,AMD,16909040,//img.danawa.com/prod_img/500000/040/909/img/16909040_1.jpg?shrink=330:*&_v=20220425174016,밀라노,AMD(소켓SP3),32,64,,256.0,225.0,,0,,,4096.0,2.0,3200.0,8.0,128.0,2.0,0,2.8,3.7,7.0,,56562,202204,
AMD EPYC 7742,12799910.0,https://prod.danawa.com/info/?pcode=9736071&cate=112747,AMD,9736071,//img.danawa.com/prod_img/500000/071/736/img/9736071_1.jpg?shrink=330:*&_v=20191111165723,롬,AMD(소켓SP3),64,128,32.0,256.0,225.0,,0,,,,2.0,3200.0,8.0,128.0,2.0,0,2.25,3.4,7.0,,67625,201911,
인텔 펜티엄 G630,1080.0,https://prod.danawa.com/info/?pcode=4504316&cate=112747,인텔,4504316,//img.danawa.com/prod_img/500000/316/504/img/4504316_1.jpg?shrink=330:*&_v=20200708150943,샌디브릿지,인텔(소켓1155),2,2,0.5,3.0,65.0,,1,인텔 HD,1100.0,,8.0,,,16.0,,0,2.7,,32.0,,1311,201609,
인텔 제온 스케일러블 골드 6346,3815900.0,https://prod.danawa.com/info/?pcode=19830395&cate=112747,인텔,19830395,//img.danawa.com/prod_img/500000/395/830/img/19830395_1.jpg?shrink=330:*&_v=20230418142134,아이스레이크,인텔(소켓4189),16,32,,36.0,205.0,,0,,,6144.0,2.0,3200.0,8.0,64.0,2.0,1,3.1,3.6,10.0,,37722,202304,
인텔 코어i3-3세대 3250,10860.0,https://prod.danawa.com/info/?pcode=17870279&cate=112747,인텔,17870279,//img.danawa.com/prod_img/500000/279/870/img/17870279_1.jpg?shrink=330:*&_v=20220920151146,아이비브릿지,인텔(소켓1155),2,4,0.5,3.0,55.0,,1,인텔 HD 2500,1050.0,,8.0,,,16.0,,0,3.5,,22.0,,2424,201306,
