program_id,cpu_id,gpu_id,ram,dx,storage,os,spec_class
196,73,910.0,16,Version 12,60,"Windows 10 or 11, 64-bit",1
197,310,1153.0,8,Version 11,30,Windows 10 (64-bit),0
197,147,872.0,16,Version 11,30,Windows 10 (64-bit),1
198,400,1153.0,1,DirectX 9.0 March 2009 Runtime,0.6,Windows XP or Windows Vista,0
198,390,1057.0,2,DirectX 9.0 March 2009 Runtime,1,Windows XP or Windows Vista,1
199,162,1065.0,8,Version 11,2,Windows 7,0
199,283,1007.0,16,Version 11,2,Windows 7,1
200,400,,4,Version 10,2,64-bit Windows 7,0
200,320,,8,Version 11,2,64-bit Windows 7 or later,1
201,182,,2,9.0c,0.256,Windows XP SP3 (32 bit only),0
201,182,,4,9.0c,1,Windows 7,1
202,400,,4,Version 10,2,Windows® 7 SP1 64 Bit,0
202,400,,4,Version 12,2,Windows® 10 Home 64 bit,1
203,400,123.0,1,9.0C,6,"Windows XP, Vista, Windows 7",0
205,400,1173.0,0.5,DirectX 9.0,8,Windows 2000 / Windows XP,0
205,400,200.0,1.0,DirectX 9.0,8,Windows 2000 / XP / Vista / 7,1
206,82,1031.0,8,,,Windows 10 (64-bit),0
206,79,872.0,16,,,Windows 10 (64-bit),1
207,400,,8,Version 11,,"Windows 10, 64 Bit",0
207,400,,12,Version 12,,"Windows 10, 64 Bit",1
208,400,1173.0,1,DirectX version 9.0c (included) or higher,8.5,Windows XP/Vista,0
208,400,200.0,2,DirectX version 9.0c (included) or higher,8.5,Windows XP/Vista,1
209,320,421.0,4,11,15,Windows 7 SP1/ Windows 8 / Windows 8.1,0
209,320,896.0,8,11,,Windows 7 SP1/ Windows 8 / Windows 8.1,1
210,40,1079.0,8,Version 11,3,Windows 7,0
211,216,1098.0,8,Version 11,3,Windows 7 and Above,0
212,400,1106.0,2,,,Windows 7 SP1+ (or later),0
213,182,,0.5,,3,Windows 2000/XP/Vista,0
214,400,200.0,2,9.0c,12,Microsoft Windows XP® or Windows Vista®,0
215,400,,2,,0.4,Windows 7 SP1+,0
215,400,,4,,0.4,Windows 10,1
216,328,123.0,1,DirectX® 9.0c or higher,3,Windows 7/Vista/XP SP 2,0
217,400,1127.0,2,DirectX®: 9.0c,2,Windows XP ® or Windows ®Vista,0
